City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mackay,90,AU,1622489501,94,-21.15,149.2,62.69,9.22
Kumul,32,CN,1622489695,13,42.8,93.45,71.91,11.88
Port Alfred,97,ZA,1622489696,81,-33.5906,26.891,60.37,11.56
East London,74,ZA,1622489698,70,-33.0153,27.9116,61.47,5.06
Rikitea,0,PF,1622489699,65,-23.1203,-134.9692,74.43,14.12
New Norfolk,100,AU,1622489700,77,-42.7826,147.0587,49.5,1.01
Caravelas,12,BR,1622489705,74,-17.7125,-39.2481,75.63,5.19
Atuona,96,PF,1622489706,70,-9.8,-139.0333,79.0,9.44
Kemijärvi,100,FI,1622489707,65,66.7131,27.4306,48.7,1.74
Ilulissat,75,GL,1622489709,75,69.2167,-51.1,33.82,5.75
Qaanaaq,100,GL,1622489710,86,77.484,-69.3632,33.62,0.4
Puerto Ayora,44,EC,1622489712,83,-0.7393,-90.3518,82.36,7.0
Tiksi,10,RU,1622489713,78,71.6872,128.8694,41.34,1.68
Havre-St-Pierre,90,CA,1622489714,93,50.2334,-63.5986,45.19,9.22
Lebu,100,CL,1622489716,98,-37.6167,-73.65,56.66,13.67
Ushuaia,75,AR,1622489717,86,-54.8,-68.3,33.46,3.44
São Francisco,43,BR,1622489719,29,-15.9486,-44.8644,86.56,4.07
Saint George,1,US,1622489440,10,37.1041,-113.5841,95.47,4.0
Bingöl,3,TR,1622489721,46,38.8847,40.4939,62.22,3.47
Bengkulu,99,ID,1622489723,91,-3.8004,102.2655,75.87,3.09
Lata,10,PT,1622489724,93,40.1629,-8.3327,63.36,3.67
Saurimo,12,AO,1622489502,41,-9.6608,20.3916,62.49,4.27
Bluff,97,NZ,1622489726,77,-46.6,168.3333,46.58,9.35
Province of Mantua,0,IT,1622489728,62,45.1667,10.7833,72.55,6.55
Xingyi,42,CN,1622489730,95,24.1877,102.817,61.05,3.6
Gao,0,ML,1622489731,7,16.6362,1.637,94.96,12.35
Kununurra,29,AU,1622489523,82,-15.7667,128.7333,62.58,0.0
Gushikawa,75,JP,1622489734,78,26.3544,127.8686,76.23,16.96
Tezu,100,IN,1622489735,99,27.9167,96.1667,72.99,4.05
Soyo,44,AO,1622489736,87,-6.1349,12.3689,77.54,9.75
Samfya,5,ZM,1622489738,55,-11.3649,29.5565,61.34,6.96
Codrington,99,AU,1622489739,44,-38.2667,141.9667,47.89,10.54
Bangolo,67,CI,1622489741,99,7.0069,-7.475,72.27,2.51
Deputatsky,49,RU,1622489742,44,69.3,139.9,53.89,2.73
Avarua,20,CK,1622489744,64,-21.2078,-159.775,75.25,5.75
Omsukchan,91,RU,1622489745,69,62.5333,155.8,35.62,7.49
Carupano,38,VE,1622489746,83,10.6678,-63.2585,80.19,13.27
Guerrero Negro,0,MX,1622489748,49,27.9769,-114.0611,71.31,11.9
Kaitangata,74,NZ,1622489749,82,-46.2817,169.8464,45.93,6.26
Naze,36,JP,1622489751,73,28.3667,129.4833,71.13,18.68
Måløy,100,NO,1622489752,86,61.9353,5.1136,68.47,2.91
Cape Town,75,ZA,1622489635,98,-33.9258,18.4232,56.88,1.01
Narsaq,79,GL,1622489755,78,60.9167,-46.05,46.62,6.96
Novopokrovka,100,UA,1622489756,82,49.8425,36.5477,52.18,9.73
Kruisfontein,7,ZA,1622489758,84,-34.0033,24.7314,51.89,8.5
Margate,0,GB,1622489696,63,51.3813,1.3862,60.51,4.0
Sipoo,20,FI,1622489761,87,60.3775,25.2691,53.89,4.76
Ostrovnoy,100,RU,1622489762,87,68.0531,39.5131,40.75,23.91
Khatanga,79,RU,1622489763,95,71.9667,102.5,34.07,12.66
Arraial do Cabo,75,BR,1622489765,88,-22.9661,-42.0278,73.26,5.75
Provideniya,0,RU,1622489767,61,64.3833,-173.3,44.71,13.42
Bakel,88,SN,1622489768,21,14.905,-12.4568,99.16,7.99
Yellowknife,40,CA,1622489770,50,62.456,-114.3525,60.33,3.0
Upernavik,100,GL,1622489771,91,72.7868,-56.1549,31.19,2.95
Yeppoon,41,AU,1622489773,91,-23.1333,150.7333,60.58,10.49
Nanortalik,52,GL,1622489774,85,60.1432,-45.2371,39.07,12.08
Manitouwadge,59,CA,1622489776,56,49.1215,-85.8403,51.58,10.31
Lucapa,2,AO,1622489777,34,-8.4192,20.7447,66.6,3.67
Esperance,93,AU,1622489774,78,-33.8667,121.9,57.04,22.62
Busselton,66,AU,1622489780,87,-33.65,115.3333,52.09,7.7
Kapaa,75,US,1622489781,76,22.0752,-159.319,83.12,1.01
Paamiut,90,GL,1622489783,89,61.994,-49.6678,37.85,0.36
Kedrovyy,67,RU,1622489784,84,56.1667,91.8167,36.01,4.79
Butaritari,77,KI,1622489786,77,3.0707,172.7902,83.55,19.13
Hilo,75,US,1622489788,83,19.7297,-155.09,90.28,8.05
Hermanus,17,ZA,1622489765,80,-34.4187,19.2345,55.9,6.8
São João da Barra,19,BR,1622489790,85,-21.6403,-41.0511,73.49,7.49
Nyakahanga,100,TZ,1622489792,74,-1.6033,31.1414,64.18,1.45
Meulaboh,99,ID,1622489793,89,4.1363,96.1285,76.77,4.07
Ippy,88,CF,1622489795,69,6.2679,21.2247,77.94,3.8
Hasaki,100,JP,1622489796,83,35.7333,140.8333,59.4,13.85
Vaini,90,TO,1622489759,100,-21.2,-175.2,68.16,2.3
Taitung City,100,TW,1622489799,87,22.7583,121.1444,79.39,2.51
Sangar,49,RU,1622489793,68,63.9242,127.4739,48.24,3.2
Severo-Kuril'sk,100,RU,1622489767,98,50.6789,156.125,37.62,24.07
Hong Kong,100,HK,1622489803,94,22.2855,114.1577,82.45,4.65
Punta Arenas,0,CL,1622489770,69,-53.15,-70.9167,33.91,4.38
Geraldton,0,AU,1622489806,93,-28.7667,114.6,50.41,11.23
Dudinka,85,RU,1622489807,95,69.4058,86.1778,26.4,7.83
Auki,74,SB,1622489809,89,-8.7676,160.7034,76.87,6.02
Sitka,90,US,1622489810,94,57.0531,-135.33,53.49,4.61
Dikson,100,RU,1622489812,95,73.5069,80.5464,29.17,18.88
Lüderitz,0,NA,1622489803,68,-26.6481,15.1594,59.45,23.33
Thompson,90,CA,1622489775,77,55.7435,-97.8558,57.36,8.05
Xam Nua,100,LA,1622489816,90,20.4197,104.0439,69.8,3.22
Osa,92,RU,1622489817,79,57.2829,55.4567,41.4,3.98
Lagoa,97,PT,1622489819,75,39.05,-27.9833,59.67,16.71
Fukuechō,97,JP,1622489820,75,32.6881,128.8419,69.22,6.46
Bambous Virieux,75,MU,1622489812,83,-20.3428,57.7575,73.65,9.78
Laguna,1,US,1622489823,27,38.421,-121.4238,100.2,1.99
Faanui,37,PF,1622489802,66,-16.4833,-151.75,78.48,16.11
Aklavik,90,CA,1622489826,75,68.2191,-135.0107,39.92,14.97
La Ronge,90,CA,1622489827,32,55.1001,-105.2842,70.02,3.44
Saint Paul Harbor,90,US,1622489595,87,57.79,-152.4072,47.71,13.8
Jamestown,1,US,1622489830,38,42.097,-79.2353,70.09,3.0
Albany,87,US,1622489816,74,42.6001,-73.9662,66.61,1.01
Vila Velha,0,BR,1622489794,80,-20.3297,-40.2925,80.94,10.0
Mataura,69,NZ,1622489834,97,-46.1927,168.8643,38.39,2.71
Port Hawkesbury,90,CA,1622489835,95,45.6169,-61.3485,65.59,5.99
Mar del Plata,75,AR,1622489765,53,-38.0023,-57.5575,56.08,1.01
Synya,98,RU,1622489838,74,65.3718,58.0387,43.77,8.3
Acobamba,100,PE,1622489839,71,-11.3525,-75.6594,59.67,8.37
Araouane,34,ML,1622489840,7,18.9048,-3.5265,98.33,5.28
Umm Kaddadah,56,SD,1622489842,22,13.6017,26.6876,90.23,4.29
Keti Bandar,40,PK,1622489844,85,24.1447,67.4497,83.46,18.12
Corinth,12,GR,1622489845,57,37.9407,22.9573,72.68,3.0
Palmer,75,US,1622489847,75,42.1584,-72.3287,60.73,1.01
Jinchang,2,CN,1622489849,19,38.4953,102.1739,63.0,9.93
Sola,100,VU,1622489820,78,-13.8833,167.55,78.71,14.97
Tinskoy,0,RU,1622489851,78,56.1525,96.9161,36.52,3.33
Cabo San Lucas,1,MX,1622489853,61,22.8909,-109.9124,99.52,12.66
Chernyshevskiy,34,RU,1622489855,61,63.0128,112.4714,48.38,3.31
Uchaly,100,RU,1622489857,82,54.2996,59.4521,47.95,9.89
Cherskiy,100,RU,1622489789,31,68.75,161.3,58.46,8.23
Chokurdakh,70,RU,1622489859,41,70.6333,147.9167,59.49,8.7
Tikhvin,100,RU,1622489861,64,59.6451,33.5294,48.22,2.98
Bima,96,ID,1622489863,93,-8.4667,118.7167,73.22,2.28
Teguise,20,ES,1622489865,64,29.0605,-13.564,66.42,15.12
Lompoc,1,US,1622489804,66,34.6391,-120.4579,82.69,4.61
Mahébourg,75,MU,1622489867,83,-20.4081,57.7,73.69,6.91
Sakaraha,8,MG,1622489869,93,-22.9,44.5333,58.95,3.42
Nelson Bay,100,AU,1622489870,96,-32.7167,152.15,50.68,5.35
Katsuura,80,JP,1622489872,90,35.1333,140.3,64.18,17.98
Hobart,100,AU,1622489873,72,-42.8794,147.3294,49.86,5.99
Uyuni,94,BO,1622489875,12,-20.4597,-66.825,46.44,10.4
Beringovskiy,16,RU,1622489876,80,63.05,179.3167,35.17,8.77
Hithadhoo,75,MV,1622489878,69,-0.6,73.0833,83.73,16.53
Brae,14,GB,1622489880,85,60.3964,-1.353,46.31,11.48
Huilong,11,CN,1622489881,91,31.8111,121.655,71.04,13.35
Pevek,3,RU,1622489809,69,69.7008,170.3133,39.85,1.57
Otane,90,NZ,1622489884,82,-39.8833,176.6333,50.02,11.92
Ulladulla,100,AU,1622489886,62,-35.35,150.4667,47.3,5.08
Kharp,96,RU,1622489887,88,66.8014,65.8081,40.06,8.37
Tukan,68,RU,1622489889,98,53.8409,57.4552,53.94,2.37
Znamenskoye,100,RU,1622489890,98,57.1281,73.8282,59.4,4.12
Adrar,39,MR,1622489892,21,20.5022,-10.0711,96.85,7.83
Bathsheba,40,BB,1622489894,51,13.2167,-59.5167,86.61,18.48
Iqaluit,90,CA,1622489886,80,63.7506,-68.5145,33.53,5.01
Mastung,0,PK,1622489897,9,29.7994,66.845,75.25,4.68
Olinda,75,BR,1622489899,83,-8.0089,-34.8553,76.73,9.28
Burnie,100,AU,1622489900,83,-41.0667,145.9167,47.91,3.09
Dublin,1,US,1622489901,31,37.7021,-121.9358,98.49,3.0
Coffs Harbour,46,AU,1622489903,93,-30.3,153.1333,46.36,0.0
Maria Aurora,91,PH,1622489904,98,15.7967,121.4737,75.92,1.68
Nieuw Amsterdam,20,SR,1622489906,89,5.8833,-55.0833,79.02,10.54
Madimba,75,TZ,1622489907,94,-10.4,40.3333,72.72,6.87
Kimberley,0,ZA,1622489909,45,-28.7323,24.7623,44.29,8.05
Hearst,100,CA,1622489910,42,49.6835,-83.6665,64.65,7.16
North Bend,1,US,1622489912,61,43.4065,-124.2243,84.24,18.41
Ngunguru,0,NZ,1622489914,79,-35.6167,174.5,52.16,12.82
Fortuna,35,US,1622489915,63,40.5982,-124.1573,71.85,3.0
Ganzhou,91,CN,1622489916,89,28.8184,115.4327,74.98,1.52
La Llanada,75,CO,1622489918,87,1.49,-77.5835,56.73,4.52
Fairbanks,90,US,1622489920,46,64.8378,-147.7164,66.09,0.0
